"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  "
"BALMLAWRIE","EQ","04-Mar-2026","177.04","176.50","177.04","169.51","170.33","170.33","171.80","2,46,076","4,22,75,558.86","5,779"
"BALMLAWRIE","EQ","02-Mar-2026","181.37","176.00","180.00","175.60","177.47","177.04","177.45","1,74,593","3,09,80,888.34","3,445"
"BALMLAWRIE","EQ","27-Feb-2026","180.81","180.10","182.30","179.80","181.49","181.37","181.42","1,10,426","2,00,33,530.17","2,294"
"BALMLAWRIE","EQ","26-Feb-2026","180.14","180.00","181.59","179.51","180.42","180.81","180.58","1,00,677","1,81,80,753.04","3,516"
"BALMLAWRIE","EQ","25-Feb-2026","180.34","180.05","181.29","179.51","179.85","180.14","180.18","84,288","1,51,86,821.43","2,795"
"BALMLAWRIE","EQ","24-Feb-2026","181.65","180.85","181.99","179.03","180.74","180.34","180.18","1,12,122","2,02,02,110.04","2,611"
"BALMLAWRIE","EQ","23-Feb-2026","180.43","182.00","184.40","180.82","181.75","181.65","182.46","1,42,260","2,59,56,488.57","2,808"
"BALMLAWRIE","EQ","20-Feb-2026","178.48","177.01","181.46","177.01","180.50","180.43","179.94","94,042","1,69,21,820.05","2,223"
"BALMLAWRIE","EQ","19-Feb-2026","180.54","181.50","182.70","177.20","177.20","178.48","180.33","1,38,616","2,49,96,002.48","2,733"
"BALMLAWRIE","EQ","18-Feb-2026","179.68","179.68","181.00","178.20","180.70","180.54","179.73","1,01,419","1,82,27,718.67","2,308"
"BALMLAWRIE","EQ","17-Feb-2026","176.25","175.00","181.00","175.00","179.00","179.68","179.43","1,01,551","1,82,21,662.66","2,243"
"BALMLAWRIE","EQ","16-Feb-2026","177.49","176.00","177.10","175.05","175.75","176.25","175.99","1,00,062","1,76,09,818.21","2,119"
"BALMLAWRIE","EQ","13-Feb-2026","179.23","177.50","178.85","175.00","178.00","177.49","176.56","97,579","1,72,28,511.04","1,977"
"BALMLAWRIE","EQ","12-Feb-2026","181.10","180.75","180.91","178.52","179.00","179.23","179.37","50,156","89,96,518.20","1,517"
"BALMLAWRIE","EQ","11-Feb-2026","183.07","182.92","183.82","180.45","180.75","181.10","181.33","81,571","1,47,91,554.08","1,479"
"BALMLAWRIE","EQ","10-Feb-2026","182.92","183.20","184.79","182.59","182.72","183.07","183.41","1,15,555","2,11,94,185.08","1,849"
"BALMLAWRIE","EQ","09-Feb-2026","180.31","181.25","184.90","178.00","182.78","182.92","182.22","2,31,055","4,21,03,019.66","5,140"
"BALMLAWRIE","EQ","06-Feb-2026","179.97","179.65","181.14","177.00","180.05","180.31","179.72","1,10,628","1,98,81,569.62","1,701"
"BALMLAWRIE","EQ","05-Feb-2026","181.31","180.60","183.59","177.60","180.00","179.97","180.25","1,94,693","3,50,93,971.14","4,092"
"BALMLAWRIE","EQ","04-Feb-2026","176.74","176.74","181.80","174.56","181.80","181.31","179.15","1,67,327","2,99,77,126.07","3,211"
"BALMLAWRIE","EQ","03-Feb-2026","174.64","178.00","179.01","174.10","176.70","176.74","176.49","1,32,078","2,33,10,365.28","3,687"
"BALMLAWRIE","EQ","02-Feb-2026","175.10","175.99","176.30","171.71","175.50","174.64","173.68","1,11,895","1,94,34,391.80","2,881"
"BALMLAWRIE","EQ","01-Feb-2026","172.13","171.30","179.07","171.30","174.50","175.10","176.16","2,63,985","4,65,03,308.13","3,504"
"BALMLAWRIE","EQ","30-Jan-2026","170.81","171.00","173.00","168.01","172.00","172.13","171.54","1,23,755","2,12,29,177.24","2,339"
"BALMLAWRIE","EQ","29-Jan-2026","168.02","168.00","171.28","167.01","170.61","170.81","169.23","91,849","1,55,43,388.66","2,084"
"BALMLAWRIE","EQ","28-Jan-2026","165.02","165.10","169.84","165.10","168.10","168.02","167.69","1,32,533","2,22,24,655.30","2,687"
"BALMLAWRIE","EQ","27-Jan-2026","167.01","166.10","168.04","164.01","165.00","165.02","165.32","1,92,795","3,18,72,616.59","3,213"
"BALMLAWRIE","EQ","23-Jan-2026","172.27","173.39","173.42","166.00","167.44","167.01","168.44","1,34,081","2,25,85,014.85","2,720"
